"filename", "language", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "HTML", "Markdown", "CSS", "XML", "comment", "blank", "total"
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/README.md", "Markdown", 0, 0, 0, 0, 0, 9, 0, 0, 0, 6, 15
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/back/payment.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 2, 4, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/angular.json", "JSON", 0, 106, 0, 0, 0, 0, 0, 0, 0, 1, 107
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/karma.conf.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 6, 2, 45
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/package-lock.json", "JSON", 0, 20746, 0, 0, 0, 0, 0, 0, 0, 1, 20747
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/package.json", "JSON", 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 46
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/addwebsite/addwebsite.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/addwebsite/addwebsite.component.html", "HTML", 0, 0, 0, 0, 25, 0, 0, 0, 1, 10, 36
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/addwebsite/addwebsite.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/addwebsite/addwebsite.component.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 9, 44
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/admin/admin.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/admin/admin.component.html", "HTML", 0, 0, 0, 0, 71, 0, 0, 0, 11, 94, 176
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/admin/admin.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/admin/admin.component.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 12, 40
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/adminusers/adminusers.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/adminusers/adminusers.component.html", "HTML", 0, 0, 0, 0, 65, 0, 0, 0, 12, 57, 134
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/adminusers/adminusers.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/adminusers/adminusers.component.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 1, 11, 34
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/adminwebsites/adminwebsites.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/adminwebsites/adminwebsites.component.html", "HTML", 0, 0, 0, 0, 67, 0, 0, 0, 12, 62, 141
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/adminwebsites/adminwebsites.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/adminwebsites/adminwebsites.component.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 6, 28
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/app-routing.module.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/app.component.html", "HTML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/app.component.spec.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/app.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/auth.guard.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/auth.guard.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/auth.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/auth.service.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/checkout/checkout.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/checkout/checkout.component.html", "HTML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/checkout/checkout.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/checkout/checkout.component.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 4, 7, 41
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/error/error.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/error/error.component.html", "HTML", 0, 0, 0, 0, 25, 0, 0, 0, 14, 1, 40
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/error/error.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/error/error.component.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/home/home.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/home/home.component.html", "HTML", 0, 0, 0, 0, 84, 0, 0, 0, 5, 22, 111
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/home/home.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/home/home.component.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/listusers.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/listusers.service.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 18
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/login/login.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/login/login.component.html", "HTML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/login/login.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/login/login.component.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 10, 60
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/navbaroffline/navbaroffline.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/navbaroffline/navbaroffline.component.html", "HTML", 0, 0, 0, 0, 7, 0, 0, 0, 2, 2, 11
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/navbaroffline/navbaroffline.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/navbaroffline/navbaroffline.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/navbaronline/navbaronline.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/navbaronline/navbaronline.component.html", "HTML", 0, 0, 0, 0, 21, 0, 0, 0, 4, 1, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/navbaronline/navbaronline.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/navbaronline/navbaronline.component.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 10, 32
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/pagenotfound/pagenotfound.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/pagenotfound/pagenotfound.component.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/pagenotfound/pagenotfound.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/pagenotfound/pagenotfound.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/paymentsuccess/paymentsuccess.component.css", "CSS", 0, 0, 0, 0, 0, 0, 53, 0, 1, 7, 61
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/paymentsuccess/paymentsuccess.component.html", "HTML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
